label,User mention,Exclamation,Question mark,Interjection,UpperCase,RepeatLetters,SentimentScore,positive word count,negative word count,polarity flip,Nouns,Verbs,PositiveIntensifier,NegativeIntensifier,Bigrams,Trigram,Skipgrams
1,1,3,3,0,1,0,0.0,0,1,0,0.23,0.23,0,0,-1,-1,-3
1,0,0,0,0,0,0,0.18,1,1,1,0.4,0.1,0,0,1,2,3
1,0,0,0,0,0,0,0.34,1,1,1,0.42,0.17,0,0,1,2,3
1,0,1,0,0,0,0,-0.37,0,2,0,0.23,0.08,0,0,-3,-4,-9
1,1,0,2,0,1,0,0.0,0,1,0,0.5,0.3,0,0,-1,-1,-3
1,1,0,0,0,1,0,0.36,1,1,1,0.75,0.17,0,0,-1,-1,-1
1,0,0,0,0,0,0,0.68,2,1,1,0.21,0.21,0,0,2,3,5
1,0,0,0,4,0,0,0.08,2,3,1,0.26,0.26,0,0,-1,-1,-3
1,0,1,0,1,0,0,0.34,1,1,1,0.44,0.11,0,0,0,0,0
1,0,4,0,0,0,1,0.0,0,1,0,0.67,0.11,0,0,-1,-1,-3
1,0,0,1,0,0,0,0.37,5,2,3,0.19,0.27,0,0,6,8,16
1,0,0,1,0,0,0,0.59,1,1,1,0.36,0.18,0,0,0,1,2
1,0,0,0,0,0,0,-0.26,2,2,1,0.13,0.22,1,0,0,1,2
1,1,1,0,0,0,0,0.92,4,1,1,0.12,0.19,1,0,7,11,19
1,1,1,0,0,0,0,0.25,1,2,1,0.35,0.13,0,0,-2,-3,-7
1,0,2,0,0,1,0,0.54,1,1,1,0.43,0.14,0,0,0,1,2
1,0,0,0,0,0,0,0.05,1,2,1,0.38,0.25,0,0,-1,-2,-4
1,0,0,0,0,0,0,0.53,1,2,1,0.7,0.0,0,0,-3,-4,-6
1,0,0,0,0,0,0,0.54,1,1,1,0.27,0.18,1,0,1,1,1
1,1,0,0,0,2,0,0.94,4,1,1,0.38,0.12,0,0,7,11,21
1,0,0,0,0,0,0,0.64,1,1,1,0.14,0.29,0,0,1,2,3
1,0,0,1,1,1,0,0.23,2,2,2,0.24,0.2,0,0,0,-1,-2
1,0,8,0,0,0,0,0.57,1,2,1,0.35,0.29,0,0,-1,-1,-3
1,0,1,0,0,1,0,0.87,3,1,1,0.39,0.11,0,0,4,7,13
1,1,0,0,0,0,1,0.59,2,1,1,0.54,0.23,0,0,3,5,9
1,0,0,0,0,1,0,0.58,1,3,2,0.5,0.33,0,0,-3,-4,-9
1,2,0,0,0,0,0,-0.57,0,3,0,0.38,0.08,0,0,-6,-9,-18
1,0,0,0,0,0,0,0.32,1,1,1,0.36,0.09,0,0,1,1,1
1,1,0,0,0,0,0,0.7,2,1,1,0.36,0.14,0,0,3,5,8
1,0,0,0,0,0,0,0.27,1,2,2,0.48,0.09,0,0,-2,-3,-6
1,0,0,0,0,0,0,0.74,2,1,1,0.25,0.15,1,0,3,5,9
1,0,0,0,0,0,0,-0.25,0,2,0,0.39,0.17,0,1,-3,-4,-9
1,2,0,0,0,1,0,0.0,0,2,0,0.45,0.18,0,0,-4,-5,-10
1,0,0,0,0,3,0,0.84,2,1,1,0.44,0.12,0,0,2,3,5
1,0,0,0,0,1,0,0.2,1,2,2,0.5,0.2,0,0,0,1,0
1,0,0,0,0,0,0,0.0,0,1,0,0.28,0.22,0,0,-1,-1,-3
1,0,0,0,0,1,0,0.44,1,1,1,0.5,0.14,0,0,1,2,3
1,0,0,0,0,0,0,0.78,2,1,1,0.36,0.07,0,0,3,5,9
1,0,0,0,0,0,0,0.0,0,1,0,0.35,0.13,0,0,-1,-1,-3
1,0,0,2,0,8,0,0.26,0,2,0,0.56,0.06,0,0,-4,-5,-10
1,0,2,0,0,0,0,0.0,0,1,0,0.5,0.15,0,0,-1,-1,-3
1,1,0,0,0,0,0,0.4,1,2,1,0.56,0.11,0,0,-1,-2,-5
1,0,0,0,0,0,0,0.9,4,1,1,0.28,0.17,0,0,7,11,20
1,0,0,0,0,1,0,0.0,1,1,1,0.2,0.2,0,0,0,1,2
1,0,0,0,0,0,0,0.74,2,1,1,0.44,0.33,0,0,3,5,9
1,1,1,0,0,0,0,0.49,2,1,2,0.18,0.23,0,0,1,1,3
1,0,0,0,0,0,0,-0.32,1,2,1,0.35,0.26,1,0,-2,-2,-3
1,0,0,0,0,0,0,-0.64,1,2,1,0.25,0.17,0,0,-1,-1,-4
1,1,0,0,0,0,0,-0.75,0,3,0,0.33,0.2,0,0,-5,-7,-15
